"Service","Package","VersionGA","VersionPreview","RepoPath","DocsPath"
"Azure.AI.FormRecognizer","Azure.AI.FormRecognizer","","1.0.0-preview.2","formrecognizer",""
"Azure.AI.TextAnalytics","Azure.AI.TextAnalytics","","1.0.0-preview.4","textanalytics",""
"Azure.Core","Azure.Core","1.2.1","","core",""
"Azure.Cosmos","Azure.Cosmos","","4.0.0-preview3","https://github.com/Azure/azure-cosmos-dotnet-v3/tree/releases/4.0.0-preview3","https://docs.microsoft.com/dotnet/api/azure.cosmos?view=azure-dotnet-preview"
"Azure.Data.AppConfiguration","Azure.Data.AppConfiguration","1.0.0","","appconfiguration",""
"Azure.Extensions.AspNetCore.Configuration.Secrets","Azure.Extensions.AspNetCore.Configuration.Secrets","","1.0.0-preview.2","extensions",""
"Azure.Extensions.AspNetCore.DataProtection.Blobs","Azure.Extensions.AspNetCore.DataProtection.Blobs","","1.0.0-preview.2","extensions",""
"Azure.Extensions.AspNetCore.DataProtection.Keys","Azure.Extensions.AspNetCore.DataProtection.Keys","","1.0.0-preview.2","extensions",""
"Azure.Identity","Azure.Identity","1.1.1","1.2.0-preview.3","identity",""
"Azure.Messaging.EventHubs","Azure.Messaging.EventHubs","5.1.0","","eventhub",""
"Azure.Messaging.EventHubs.Processor","Azure.Messaging.EventHubs.Processor","5.1.0","","eventhub",""
"Azure.Messaging.ServiceBus","Azure.Messaging.ServiceBus","","7.0.0-preview.2","servicebus",""
"Azure.Search.Documents","Azure.Search.Documents","","1.0.0-preview.3","search",""
"Azure.Security.KeyVault.Certificates","Azure.Security.KeyVault.Certificates","4.0.2","4.1.0-preview.1","keyvault",""
"Azure.Security.KeyVault.Keys","Azure.Security.KeyVault.Keys","4.0.3","4.1.0-preview.1","keyvault",""
"Azure.Security.KeyVault.Secrets","Azure.Security.KeyVault.Secrets","4.0.3","4.1.0-preview.1","keyvault",""
"Azure.Storage.Blobs","Azure.Storage.Blobs","12.4.2","","storage",""
"Azure.Storage.Blobs.Batch","Azure.Storage.Blobs.Batch","12.2.1","","storage",""
"Azure.Storage.Common","Azure.Storage.Common","12.4.1","","storage",""
"Azure.Storage.Files.DataLake","Azure.Storage.Files.DataLake","12.2.0","","storage",""
"Azure.Storage.Files.Shares","Azure.Storage.Files.Shares","12.2.1","","storage",""
"Azure.Storage.Queues","Azure.Storage.Queues","12.3.0","","storage",""
