"Service","Package","VersionGA","VersionPreview","RepoPath","DocsPath","Type"
"App Configuration","azure-appconfiguration","1.0.0","","appconfiguration","","Data"
"Cognitive Search","azure-search-documents","","1.0.0b3","search","","Data"
"Core","azure-core","1.5.0","","core","","Data"
"Cosmos","azure-cosmos","","4.0.0b6","cosmos","","Data"
"Event Hubs","azure-eventhub","5.1.0","","eventhub","","Data"
"Event Hubs - Azure Blob Storage Checkpoint Store","azure-eventhub-checkpointstoreblob","1.1.0","","eventhub","","Data"
"Event Hubs - Azure Blob Storage Checkpoint Store AIO","azure-eventhub-checkpointstoreblob-aio","1.1.0","","eventhub","","Data"
"Form Recognizer","azure-ai-formrecognizer","","1.0.0b2","formrecognizer","","Data"
"Identity","azure-identity","1.3.1","1.4.0b3","identity","","Data"
"Key Vault - Certificates","azure-keyvault-certificates","4.1.0","4.2.0b1","keyvault","","Data"
"Key Vault - Keys","azure-keyvault-keys","4.1.0","4.2.0b1","keyvault","","Data"
"Key Vault - Secrets","azure-keyvault-secrets","4.1.0","4.2.0b1","keyvault","","Data"
"Service Bus","azure-servicebus","0.50.2","7.0.0b2","servicebus","","Data"
"Storage - Blobs","azure-storage-blob","12.3.1","","storage","","Data"
"Storage - File Data Lake","azure-storage-file-datalake","12.0.1","","storage","","Data"
"Storage - File Shares","azure-storage-file-share","12.1.1","","storage","","Data"
"Storage - Queues","azure-storage-queue","12.1.1","","storage","","Data"
"Text Analytics","azure-ai-textanalytics","","1.0.0b5","textanalytics","","Data"
"Storage","azure-mgmt-storage","","1.0.0b1","storage","","Mgmt"
